AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID,_RepeatOffenderTag_forValidationOnly
1,1,Radha Naidu,53,F,A1,
2,2,Harish Naidu,21,M,A1,
3,3,Yogesh Kumar,45,M,A1,REPEAT-050
4,4,Rekha Bhat,43,F,A1,REPEAT-047
5,5,Anil Patil,33,M,A1,
6,6,Naveen Setty,33,M,A1,REPEAT-036
7,6,Ramesh Poojary,18,M,A2,
8,7,Manjunath Bhat,33,M,A1,REPEAT-030
9,7,Chaya Naik,41,F,A2,
10,7,Manjunath Poojary,46,M,A3,
11,8,Kumar Hegde,35,M,A1,
12,9,Basavaraj Reddy,42,M,A1,REPEAT-031
13,10,Mahesh Shetty,37,M,A1,REPEAT-022
14,11,Basavaraj Kumar,47,M,A1,
15,11,Girish Naik,53,M,A2,
16,12,Naveen Reddy,21,M,A1,
17,13,Basavaraj Iyer,55,M,A1,
18,14,Mahesh Patil,30,M,A1,
19,15,Kumar Shetty,42,M,A1,
20,15,Lakshmi Rao,52,F,A2,
21,16,Shwetha Naik,34,F,A1,
22,16,Suresh Poojary,30,M,A2,
23,17,Deepa Naidu,44,F,A1,
24,18,Anita Shetty,28,F,A1,REPEAT-019
25,18,Raghu Setty,30,M,A2,
26,19,Prakash Iyer,25,M,A1,
27,20,Kumar Iyer,20,M,A1,REPEAT-038
28,20,Kumar Reddy,33,M,A2,
29,21,Vidya Kumar,46,F,A1,
30,22,Basavaraj Shetty,40,M,A1,REPEAT-023
31,22,Harish Bhat,30,M,A2,
32,23,Suresh Achar,48,M,A1,
33,24,Anita Shetty,28,F,A1,REPEAT-019
34,25,Prakash Bhat,20,M,A1,
35,26,Harish Hegde,51,M,A1,
36,27,Mahesh Shetty,37,M,A1,REPEAT-022
37,27,Harish Bhat,40,M,A2,
38,28,Manjunath Setty,19,M,A1,
39,29,Ravi Achar,21,M,A1,
40,30,Ravi Naik,26,M,A1,
41,30,Basavaraj Bhat,46,M,A2,
42,30,Basavaraj Shetty,30,M,A3,
43,31,Manjunath Achar,19,M,A1,
44,32,Santosh Kumar,41,M,A1,
45,33,Vijay Kumar,52,M,A1,
46,33,Srinivas Reddy,37,M,A2,
47,33,Radha Patil,30,F,A3,
48,34,Vidya Naik,36,F,A1,
49,35,Raghu Naik,33,M,A1,
50,36,Manjunath Bhat,32,M,A1,REPEAT-030
51,36,Naveen Achar,20,M,A2,
52,37,Raghu Bhat,24,M,A1,
53,37,Shwetha Achar,23,F,A2,
54,38,Bhagya Achar,49,F,A1,
55,39,Kumar Iyer,36,M,A1,
56,40,Harish Poojary,33,M,A1,
57,41,Priya Naidu,40,F,A1,
58,41,Ganesh Setty,26,M,A2,
59,41,Naveen Bhat,41,M,A3,
60,42,Roopa Hegde,55,F,A1,
61,42,Girish Shetty,29,M,A2,
62,43,Raghu Murthy,34,M,A1,
63,43,Vijay Shetty,22,M,A2,
64,44,Santosh Achar,23,M,A1,
65,44,Basavaraj Naik,55,M,A2,
66,45,Sunita Reddy,44,F,A1,
67,46,Shwetha Bhat,45,F,A1,
68,47,Santosh Gowda,38,M,A1,
69,48,Savitha Murthy,47,F,A1,
70,49,Shivaraj Gowda,48,M,A1,
71,49,Srinivas Naidu,43,M,A2,
72,50,Raghu Hegde,41,M,A1,REPEAT-045
73,50,Ganesh Patil,24,M,A2,
74,51,Lakshmi Bhat,36,F,A1,
75,52,Shivaraj Patil,18,M,A1,
76,52,Deepa Achar,47,F,A2,
77,52,Mahesh Reddy,51,M,A3,
78,53,Mahesh Hegde,42,M,A1,
79,54,Suresh Setty,18,M,A1,
80,54,Girish Setty,31,M,A2,
81,54,Santosh Iyer,39,M,A3,
82,55,Srinivas Iyer,20,M,A1,
83,56,Naveen Reddy,55,M,A1,
84,57,Yogesh Naidu,37,M,A1,
85,57,Srinivas Poojary,24,M,A2,
86,58,Girish Gowda,49,M,A1,
87,59,Ramesh Gowda,37,M,A1,
88,59,Nandini Hegde,28,F,A2,
89,60,Basavaraj Hegde,41,M,A1,
90,61,Ravi Kumar,37,M,A1,
91,62,Ravi Naik,28,M,A1,
92,63,Suresh Bhat,30,M,A1,
93,64,Harish Poojary,50,M,A1,
94,65,Ramesh Iyer,18,M,A1,
95,66,Suresh Bhat,46,M,A1,
96,66,Priya Gowda,41,F,A2,
97,67,Shwetha Kumar,46,F,A1,
98,68,Radha Reddy,45,F,A1,REPEAT-055
99,69,Priya Naik,19,F,A1,
100,69,Kavya Hegde,34,F,A2,
101,70,Manjunath Shetty,32,M,A1,
102,70,Suresh Achar,19,M,A2,
103,71,Santosh Reddy,27,M,A1,
104,71,Ramesh Poojary,18,M,A2,
105,71,Deepa Shetty,45,F,A3,
106,72,Srinivas Murthy,21,M,A1,
107,73,Naveen Shetty,37,M,A1,
108,73,Chaya Reddy,20,F,A2,
109,74,Pooja Setty,21,F,A1,
110,75,Chaya Setty,32,F,A1,
111,76,Yogesh Naidu,24,M,A1,REPEAT-001
112,77,Raghu Setty,34,M,A1,
113,77,Manjunath Murthy,24,M,A2,
114,78,Naveen Murthy,43,M,A1,REPEAT-002
115,78,Yogesh Kumar,43,M,A2,
116,79,Anita Shetty,29,F,A1,REPEAT-019
