VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Vidya Hegde,41,F,0
2,2,Basavaraj Gowda,11,M,0
3,3,Santosh Reddy,32,M,0
4,3,Bhagya Kumar,57,F,0
5,4,Sunita Bhat,34,F,0
6,5,Shwetha Naik,64,F,0
7,6,Kavya Poojary,62,F,0
8,6,Deepa Setty,57,F,0
9,7,Santosh Bhat,36,M,0
10,8,Geeta Achar,12,F,0
11,9,Shwetha Shetty,70,F,0
12,10,Kumar Murthy,37,M,0
13,11,Kavya Naik,41,F,0
14,12,Deepa Kumar,29,F,0
15,12,Ganesh Gowda,69,M,0
16,13,Manjunath Patil,58,M,0
17,14,Savitha Shetty,18,F,0
18,15,Anil Reddy,16,M,0
19,16,Lakshmi Rao,65,F,0
20,17,Santosh Achar,56,M,0
21,18,Santosh Murthy,69,M,0
22,19,Vidya Kumar,62,F,0
23,20,Ramesh Murthy,43,M,0
24,21,Naveen Kumar,35,M,0
25,22,Sowmya Hegde,24,F,0
26,23,Basavaraj Murthy,51,M,0
27,23,Suresh Achar,73,M,0
28,24,Suresh Achar,39,M,0
29,25,Chaya Patil,21,F,0
30,26,Radha Setty,46,F,0
31,26,Girish Gowda,69,M,0
32,27,Yogesh Achar,39,M,0
33,28,Kumar Setty,55,M,0
34,29,Santosh Reddy,32,M,0
35,29,Nandini Hegde,73,F,0
36,30,Shobha Iyer,55,F,0
37,31,Geeta Shetty,42,F,0
38,32,Manjunath Hegde,12,M,0
39,33,Radha Iyer,66,F,0
40,34,Vijay Shetty,70,M,0
41,35,Manjunath Naidu,74,M,0
42,36,Shwetha Achar,57,F,0
43,37,Pooja Naidu,46,F,0
44,38,Ravi Setty,7,M,0
45,39,Girish Shetty,6,M,0
46,40,Ganesh Murthy,49,M,0
47,40,Raghu Naidu,5,M,0
48,41,Ramesh Murthy,25,M,0
49,42,Nandini Poojary,18,F,0
50,42,Rekha Naidu,11,F,0
51,43,Vidya Poojary,24,F,0
52,44,Nagaraj Patil,5,M,0
53,44,Manjunath Poojary,25,M,0
54,45,Nagaraj Naidu,71,M,0
55,46,Shivaraj Rao,54,M,0
56,47,Santosh Hegde,38,M,0
57,48,Manjunath Hegde,69,M,0
58,49,Manjula Murthy,10,F,0
59,50,Srinivas Rao,68,M,0
60,51,Ramesh Hegde,11,M,0
61,51,Pooja Achar,22,F,0
62,52,Ravi Reddy,75,M,0
